row,col,satin,gilded_threads,artisans_vision,best_key,best_pct,ocr_text
1,1,77.2%,81.0%,73.3%,gilded_threads,81.0%,""
1,2,81.8%,77.5%,73.6%,satin,81.8%,""
1,3,81.9%,77.7%,74.0%,satin,81.9%,""
1,4,82.3%,77.6%,74.0%,satin,82.3%,""
2,1,81.5%,76.8%,73.8%,satin,81.5%,""
2,2,72.5%,72.2%,81.9%,artisans_vision,81.9%,""
2,3,71.4%,72.6%,80.6%,artisans_vision,80.6%,""
2,4,72.5%,72.9%,81.1%,artisans_vision,81.1%,""
3,1,78.3%,73.5%,76.5%,satin,78.3%,""
3,2,78.1%,80.4%,74.0%,gilded_threads,80.4%,""
3,3,73.2%,73.3%,82.8%,artisans_vision,82.8%,""
3,4,82.8%,77.1%,74.1%,satin,82.8%,""
4,1,77.4%,81.1%,73.2%,gilded_threads,81.1%,""
4,2,72.6%,73.1%,82.4%,artisans_vision,82.4%,""
4,3,73.0%,73.5%,82.5%,artisans_vision,82.5%,""
4,4,72.5%,73.2%,81.3%,artisans_vision,81.3%,""
5,1,73.0%,73.0%,82.8%,artisans_vision,82.8%,""
5,2,72.0%,72.8%,82.0%,artisans_vision,82.0%,""
5,3,72.2%,73.0%,82.3%,artisans_vision,82.3%,""
5,4,77.9%,80.9%,75.2%,gilded_threads,80.9%,""
6,1,72.2%,72.8%,82.6%,artisans_vision,82.6%,""
6,2,72.3%,72.7%,82.6%,artisans_vision,82.6%,""
6,3,72.5%,73.5%,82.6%,artisans_vision,82.6%,""
6,4,80.2%,75.9%,72.9%,satin,80.2%,""
