row,col,satin,gilded_threads,artisans_vision,best_key,best_pct,ocr_text
1,1,81.8%,77.1%,73.0%,satin,81.8%,""
1,2,81.5%,77.2%,73.1%,satin,81.5%,""
1,3,81.9%,77.2%,73.1%,satin,81.9%,""
1,4,82.0%,76.9%,73.6%,satin,82.0%,""
2,1,72.6%,72.8%,81.3%,artisans_vision,81.3%,""
2,2,78.4%,73.3%,76.4%,satin,78.4%,""
2,3,78.2%,80.0%,74.8%,gilded_threads,80.0%,""
2,4,73.5%,73.5%,82.0%,artisans_vision,82.0%,""
3,1,81.8%,76.0%,73.9%,satin,81.8%,""
3,2,77.2%,80.8%,73.5%,gilded_threads,80.8%,""
3,3,72.8%,73.4%,83.2%,artisans_vision,83.2%,""
3,4,73.2%,73.4%,82.8%,artisans_vision,82.8%,""
4,1,72.3%,73.0%,81.4%,artisans_vision,81.4%,""
4,2,73.6%,73.3%,83.2%,artisans_vision,83.2%,""
4,3,72.5%,73.1%,82.6%,artisans_vision,82.6%,""
4,4,72.5%,72.9%,82.9%,artisans_vision,82.9%,""
5,1,72.1%,72.8%,81.8%,artisans_vision,81.8%,""
5,2,72.4%,73.0%,82.2%,artisans_vision,82.2%,""
5,3,72.0%,72.3%,82.2%,artisans_vision,82.2%,""
5,4,80.8%,76.4%,73.2%,satin,80.8%,""
6,1,81.2%,76.0%,73.3%,satin,81.2%,""
6,2,81.3%,76.7%,72.6%,satin,81.3%,""
6,3,77.0%,81.3%,72.6%,gilded_threads,81.3%,""
6,4,80.6%,75.9%,73.4%,satin,80.6%,""
